,mice_id,num_stim,condition,decision_score,duration_reward,max_instance_speed2safezone,distance_under_threat,latency_to_first_escape,latent1D,change_trial
501,idm43_7E53,10,no_high,2,3.233333333,102.377458,97.45457058,3.5,-7.300449873450978,3
522,idm43_7FC3,1,no_high,3,0.2,71.70233124,93.62961908,0.366666667,8.856754440017003,3
523,idm43_7FC3,2,no_high,3,0.0,67.19922117,91.95844461,0.366666667,13.549069289745715,3
524,idm43_7FC3,3,no_high,2,0.0,86.98755946,98.0845957,0.566666667,-6.945183130395515,3
525,idm43_7FC3,4,no_high,2,0.0,73.6834677,98.21261718,0.833333333,6.164248129315748,3
526,idm43_7FC3,5,no_high,2,0.0,80.80593005,93.32785528,0.766666667,-0.1469987832049512,3
527,idm43_7FC3,6,no_high,2,0.0,84.73639193,97.54248079,1.3,-4.6679467402622015,3
528,idm43_7FC3,7,no_high,2,0.0,89.9079196,96.26557384,1.3,-9.586613588879906,3
529,idm43_7FC3,8,no_high,2,0.0,84.70126638,92.08827562,1.4,-3.833088895608503,3
530,idm43_7FC3,9,no_high,2,0.0,78.03790004,96.13481128,3.333333333,2.0830464349066427,3
531,idm43_7FC3,10,no_high,2,0.0,85.6361351,96.84373591,1.866666667,-5.473287155634051,3
160,idm44_0F33,1,no_low,2,6.566666667,43.05403027,-13.53488151,8.166666667,-14.117591810637997,9
161,idm44_0F33,2,no_low,0,13.1,42.76160795,-16.5116514,13.76666667,-18.119727754184037,9
162,idm44_0F33,3,no_low,2,7.533333333,42.73442546,5.257682254,7.2,4.35097724329772,9
163,idm44_0F33,4,no_low,1,19.16666667,3.659311556,-6.905606055,20.0,-14.739095318847557,9
164,idm44_0F33,5,no_low,0,13.93333333,37.04137408,-10.70933185,13.73333333,-13.211284222246737,9
165,idm44_0F33,6,no_low,0,15.93333333,28.08015156,-12.04198425,15.96666667,-16.03764922365031,9
166,idm44_0F33,9,no_low,2,4.9,43.75086414,87.85917465,4.833333333,86.21212999285135,9
167,idm44_0F33,10,no_low,0,6.333333333,30.42676508,-12.00161832,9.066666667,-14.337758906582424,9
140,idm44_F293,1,no_low,2,3.4,51.89804281,92.77834832,3.366666667,-38.29726298331492,4
141,idm44_F293,2,no_low,2,5.5,59.23452469,85.50583299,3.466666667,-31.397078681954632,4
